alpha,beta,T,years,error_alpha,error_beta,scalar,min_value,GoF_alpha,GoF_beta
0.6650402316770938,0.0004192771774195586,84.0,21.0,-0.010749726686670869,-0.008541559067758775,100.0,0.01,0.967563351236206,0.9860545974403938
0.4921705999999144,0.0003059462186872496,,,-0.009752560862194457,-0.03379273797593807,,,0.9619106312841628,0.9533893269297407
0.6505418738285008,0.00034611715703062945,,,0.017891783579431504,0.014183306789430583,,,0.9516341567183022,0.9818453673095289
0.24941390138258593,9.440514596930362e-05,,,0.0011725508530484063,0.0037218279568808077,,,0.9925942945662337,0.9952360602151926
0.3734727082969494,0.00010580418714476317,,,0.0009111018329595311,0.002214829446350375,,,0.9819839829296032,0.9863702803301515
0.5842223152511898,0.0033207625602946476,,,-0.009783615904349006,-0.023964446069404177,,,0.9730619714890995,0.974774267295364
0.6678751292241489,0.001950016560407166,,,0.0070840979371166665,0.005697023610684304,,,0.9715692100252088,0.9871616369336692
0.8186959529786495,0.02236637438093132,,,-0.005033876017759411,0.009865548385995737,,,0.9857601329431193,0.9822641826768616
0.7669775472857526,0.023294980950360356,,,0.008823512441415033,0.005458916042164863,,,0.9762059253498275,0.991087484012792
0.5914773532836082,0.04126745727506434,,,0.0016596279876282694,0.004571579998965736,,,0.9940562464067577,0.9925361959200559
0.6469177372053097,0.0009751116764406999,,,-8.797048750707858e-05,-0.008589082686214944,,,0.9997740318179323,0.9903898375538853
0.39117527747658665,0.0008130120139904024,,,0.0012445773553263705,0.0030839901864917474,,,0.9944464532373539,0.9960524925612906
0.0005096721881190442,0.002658592611860477,,,1.6505502143218108e-05,0.02020823772421268,,,0.8349449785679033,0.9076194846893134
0.1023230455690096,0.0037574149737828848,,,-0.0012744325496859687,-0.0030363281104534567,,,0.9598905401848281,0.9921643145536685
0.000757702100172112,0.0022652231811404297,,,-9.480376455144324e-06,-0.01252216662441058,,,0.9051962354486053,0.9229405130805503
0.000360186181435762,0.004231163191935229,,,8.37142389329415e-07,-0.0009799559897161747,,,0.9916285761067072,0.9970416422951964
0.0005464438096537973,0.022403469796071496,,,3.2357301861551945e-06,0.0037659685546372057,,,0.9676426981384532,0.9827841437502299
0.7681211857652684,0.028868176091742952,,,-0.009074877799970692,-0.007832834590316362,,,0.9751205762819132,0.9872116986280549
0.00043143234022741876,0.008440497937711377,,,3.7345019246970422e-06,0.005775205171909881,,,0.9626549807530221,0.9789992539203277
0.7057152214248181,0.018544045797923677,,,0.0023789441826465208,-0.009054385254787967,,,0.9925613746275389,0.9837224534745385
0.5567981328651705,0.0272919212834317,,,-0.010282672104314444,-0.011955029201170309,,,0.9634684810005784,0.9821233208206799
0.07420117184004801,0.032657641066784406,,,3.913093416272773e-05,-0.0032590331634234637,,,0.9987514417243185,0.9941410639758679
0.03081821940111206,0.0011009092740307796,,,1.756186849025454e-05,-0.002866679033413033,,,0.9986348522029275,0.9942666419331739
1.196547495073023,4.454472073164897e-05,,,-0.018973916332416678,-0.02102179130606524,,,0.9520574045752224,0.9526269491694305
1.3874950343529069,3.99724306171163e-05,,,0.017105248960104406,0.012858539830672089,,,0.9575741833703978,0.9668166714047172
2.0200043763175963,4.343844577237613e-05,,,-0.0027688605281549882,-0.010442548025235365,,,0.995675181688431,0.9812268799546331
0.0011725043721239885,0.013255389086561268,,,-6.416496812278183e-06,-0.002178883330814216,,,0.935835031877251,0.9794928627688074
0.1663753154127747,0.03929062279740389,,,0.0010254701886768204,0.005525262513879414,,,0.9732254583607748,0.9799081363131658
0.4787393576632286,0.08862814117917897,,,0.0004286110999506576,-0.001540864917633722,,,0.9984016234527585,0.9978746690791259
0.41765992635912796,0.00015220533432512402,,,-0.004936255330413033,-0.011018135002173857,,,0.9776729709202028,0.9858967871972175
0.14126906898117025,0.0001996412515661093,,,0.0009660878164309139,0.012897925092863582,,,0.9874924032685528,0.9834906558811346
0.019121196885367432,0.00019586298549725058,,,-0.00028434407100718317,-0.007547869826571851,,,0.9706855402270957,0.9895891450667974
0.23655512243287644,0.00014986068217780804,,,0.0021797673285805885,0.009707957992780236,,,0.9828779972215216,0.9875738137692412
0.8740587780589167,0.00014113624859310832,,,-0.004916099386630464,-0.004633404782712125,,,0.9885125188271427,0.9930715442501501
2.434679516292421,0.00015469097691325537,,,0.011341707535805625,0.004523592673271071,,,0.9802038730575429,0.9863438711750308
0.3388793547581981,0.0003870270812615459,,,-0.009389434886325886,-0.02792403153002776,,,0.9403698521633119,0.954409744440771
0.45024766287752466,0.0001721830681946919,,,-0.00979633263576261,-0.015666378718389384,,,0.9660552383991309,0.981293876157147
1.1619042990888697,0.0003456512805560728,,,0.002493860055799786,0.002666648813574257,,,0.9957101166496654,0.9956462876513074
0.5457448619642711,0.07531978015354558,,,-0.006276814888169895,-0.009847041144845803,,,0.980667968328635,0.9864178742829713
0.0007421404863416741,0.0003744904113972906,,,-1.97752422863573e-06,-0.0038571137671351563,,,0.9802247577136388,0.9762639152791682
0.519903667489996,0.014723674900366999,,,0.0020650358057855557,0.009950048864386107,,,0.9933608372197077,0.9888670781936939
0.6083342035305468,0.004213527255838415,,,-0.005484203515528137,-0.006052132657972831,,,0.9490195826997697,0.9723331078492671
