MetaODS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3.8,275753.42573538655,323215.67737106234,319010.4061347624,322505.8278859882,336987.59508707514,363414.4830053233,386480.8272480083,391971.74564256234,390966.99061245535,407650.58651838964,400945.8135420036,420389.66455148597,444425.2636373282,473656.8341022417,486127.3596052906,492145.0490239578,446950.7048234605,475276.2923056314,454890.4441307245,472472.9263897051,526443.6710545883
3.9,199.99916478859788,234.4227106096763,231.37270050471903,233.90786912126381,244.4112430581651,263.578205345275,280.307823738811,284.29029137236626,283.56156002006253,295.6618820304198,290.799026775591,304.90131381626793,322.33391589380267,343.5350656632052,352.57972096869554,356.9442464663607,324.1655744728474,344.7096305384166,329.92412933343434,342.676397985505,381.82044062870807
4.1,207943.62949208615,243734.5642471811,240563.40014815726,243199.27197320203,254119.86606998477,274048.18781339034,291442.34829624335,295583.0094581616,294825.3310824399,307406.3080056002,302350.2880344537,317012.7530226313,335137.8214514197,357181.1336678225,366585.06519781926,371122.9605133051,337042.2380689564,358402.35518384003,343029.537063957,356288.357572396,396987.29903459904
4.2,33598.92682239778,39381.92195756451,38869.53448618505,39295.43098890177,41059.948819099955,44279.9090822989,47090.406939953464,47759.44292684784,47637.01945870426,49669.81711655038,48852.88011570037,51221.99856081482,54150.59439843335,57712.28867053594,59231.748574602025,59964.968500622956,54458.30449625297,57909.61009101337,55425.71485303188,57568.036505791635,64144.05308912078
4.3,41151.31341538755,48234.213608743325,47606.6513792617,48128.2811491188,50289.42833817486,54233.17316896697,57675.41639313208,58494.83868386163,58344.89679632441,60834.6279109601,59834.059329103045,62735.70961598334,66322.5969537212,70684.89096554596,72545.89596326083,73443.92949681942,66699.47430886378,70926.56641132904,67884.33973636794,70508.21371410816,78562.39118459118
4.5,26353.556482964734,30889.489720979105,30487.594974770713,30821.649916452956,32205.661987705407,34731.26065095044,36935.69457315466,37460.45769320775,37364.43397793802,38958.87323421732,38318.102905190826,40176.3377556128,42473.40266576363,45267.042821922914,46458.84197125503,47033.94821905181,42714.757262776,45421.8132771621,43473.55243544154,45153.897613700225,50311.84284741974
4.6,114.00320007434188,133.62525392470081,131.8866921032465,133.3317848131068,139.3189010175663,150.24442182533784,159.78061181343926,162.05069156551068,161.6353013000316,168.53270725954573,165.76079038111877,173.79935320563587,183.73625681501974,195.82130187769334,200.97692164983178,203.46478140697542,184.78033587242703,196.490825446007,188.06281798981232,195.33184551840452,217.64466932388706
4.a,4528.184084883683,5307.568101297125,5238.512776838144,5295.91156744844,5533.718614037516,5967.678094197329,6346.453634764516,6436.620744091652,6420.121526631691,6694.085098465524,6583.985119821693,6903.275211885593,7297.967016569087,7777.982565976607,7982.762742188197,8081.580029337805,7339.437625885571,7804.575906904892,7469.817152716104,7758.541458227601,8644.802313878263
5.2,3185.2175292450393,3733.452226544735,3684.8772954396313,3725.2527816350153,3892.531134099119,4197.787130161966,4464.22561164761,4527.651005095926,4516.045117241734,4708.756710900834,4631.3101284801805,4855.905325824576,5133.53963382986,5471.192413315369,5615.238987987211,5684.749093875377,5162.7109107186025,5489.898714582743,5254.4225431369105,5457.517139512611,6080.931196888485
5.6,5.496578846062967,6.442641465707497,6.358818010540038,6.428492072447406,6.717156392895369,7.243922189952443,7.703702442844071,7.813152636662972,7.79312490634835,8.125678165073117,7.992032270334451,8.379605552007035,8.858705911813505,9.441377301756003,9.689951644927076,9.809901938464186,8.909045401028017,9.473657878793608,9.06730781609386,9.41777853024096,10.493574606536791
5.a,1549.9859978979368,1816.7671820947194,1793.1297186026693,1812.7771799413615,1894.1779325399607,2042.721168701274,2172.3750814441883,2203.239055679366,2197.591415132997,2291.368455181813,2253.681510025036,2362.973703692401,2498.0757135216236,2662.383826091224,2732.4795642116387,2766.304472510632,2512.270998554188,2671.4866596561774,2556.89958193588,2655.729183914644,2959.094040774004
5.b,299.28149430811055,350.7933605881812,346.22928361900335,350.02294472096116,365.74033759325323,394.42204294285716,419.45647344817576,425.41589265707063,424.32540906281577,442.4324969433923,435.1556536185337,456.25850943874116,482.3448943741882,514.0705857826684,527.60513208035,534.136267919181,485.08581340341624,515.8282207777278,493.7029939079117,512.7856636882796,571.3613461812602
6.1,20198.908530137578,23675.513315252178,23367.47765324756,23623.516917452438,24684.30479440959,26620.071468471226,28309.678682742982,28711.887859663515,28638.289662672116,29860.361253474835,29369.23736007553,30793.497337868284,32554.1023642873,34695.311730729234,35608.77637142076,36049.57146873018,32739.090657291792,34813.9368685001,33320.67570049796,34608.59061917866,38561.94181284795
6.2,1521.4673631212456,1783.339964164555,1760.1374131099667,1779.4233751996544,1859.32641211756,2005.136558879113,2132.4049322752853,2162.701031439228,2157.1573034432367,2249.2089129660876,2212.2153806699644,2319.4966760715583,2452.1129054607363,2613.3978661698848,2682.203892797699,2715.406446954499,2466.0470073923284,2622.3332141019205,2509.8544567303657,2606.8656646540985,2904.648824924852
6.3,1255.7695011535702,1471.910598589479,1452.759970275286,1468.6779738944695,1534.6273325486109,1654.9742684738426,1760.0174298627746,1785.0228412545478,1780.4472291127436,1856.4236230682159,1825.890368971914,1914.4368485580376,2023.8939557307299,2157.013297993716,2213.8035465584394,2241.2078510352526,2035.394708658983,2164.3882425289885,2071.551947476897,2151.6218320722355,2397.4023329815655
6.4,86.61229058399138,101.51986360679915,100.19901628339208,101.29690467271455,105.84553004570951,114.14603724521862,121.39102034898224,123.11568077085663,122.80009399473127,128.0402989087304,125.9343749522763,132.04155737154807,139.590976882227,148.77241594715105,152.6893238721377,154.57943951869348,140.38420092027025,149.28107684275574,142.87801946924372,148.400558522173,165.35240529427782
7.1,19009.600493767255,22281.503425608396,21991.604846989452,22232.568566191945,23230.89744715597,25052.68653383637,26642.809984654054,27021.337158871334,26952.07241024491,28102.188649510048,27639.98204104234,28980.381852086866,30637.322776870395,32652.458127814843,33512.13813769359,33926.97930037132,30811.41899304923,32764.09863919088,31358.760415384204,32570.843139436038,36291.42173857578
7.2,4413.5296552647405,5173.179529209393,5105.872697896799,5161.8181408792425,5393.603870583906,5816.57541921471,6185.760295457469,6273.644357475462,6257.562903147823,6524.589668421641,6417.277440897427,6728.483050815212,7113.181188524713,7581.042658505722,7780.6377640884075,7876.952979881762,7153.601754607972,7606.962651292978,7280.680048537519,7562.093803076485,8425.914375604065
7.3,310.4619290358346,363.89815438788537,359.1635745121908,363.0989576421931,379.4035144001271,409.1566990781887,435.1263555214074,441.3084042571771,440.1771828262063,458.96070783372903,451.41201919479397,473.30322680605303,500.36413615948095,533.2750228731519,547.315187173712,554.0903104936694,503.2074493122451,535.0983188720191,512.1465468948087,531.9420991886889,592.7060278886684
7.b,1528.3411647955263,1791.3968739140605,1768.0894965988816,1787.4625902838409,1867.7266192560353,2014.195518255875,2142.0388744478264,2172.471847646799,2166.9030737722674,2259.370561100318,2222.209896593279,2329.975875640296,2463.191248778271,2625.204875024276,2694.3217587841586,2727.6743179807545,2477.1883032617934,2634.180591754923,2521.1936692465524,2618.6431618286447,2917.7716696469406
8.3,4140.24137416313,4852.853293340278,4789.714139526774,4842.195408675038,5059.628833398742,5456.409741769021,5802.73447927526,5885.1767098972705,5870.091028421315,6120.583343631394,6019.915950625578,6311.851531145881,6672.728940094173,7111.620160204477,7298.856222667123,7389.207545199514,6710.646641602165,7135.935172210297,6829.856174873923,7093.844628743488,7904.176937254383
8.4,135.85280271905887,159.2355762634615,157.16380550622924,158.8858615072483,166.02045523839024,179.03993734006167,190.40381253216324,193.1089707778404,192.61396772748088,200.8333153464959,197.53013897431507,207.10935507379074,218.95074377870097,233.35198200429215,239.49571652527106,242.46039401291634,220.19492873242646,234.14982498749404,224.1065241545829,232.76871751544715,259.35796806784083
8.5,2621.0025439032047,3072.1254336541865,3032.1548455146144,3065.3784012240144,3203.025825088428,3454.210158615584,3673.4529360258603,3725.6434429691953,3716.093369446493,3874.668905522944,3810.940859423294,3995.752282248669,4224.207708251906,4502.050205934402,4620.581023747943,4677.778424769104,4248.21171747021,4517.442957844953,4323.677967315593,4490.79730810356,5003.782627091951
8.6,3245.739120410256,3804.390700044648,3754.8928077620963,3796.0354593539337,3966.492229607614,4277.548325169106,4549.04934342001,4613.6798682907565,4601.853459610791,4798.226722269621,4719.30859501557,4948.171274435065,5231.080848549574,5575.149291420141,5721.93286217498,5792.763713717654,5260.806402211383,5594.211026847701,5354.260626421729,5561.21417686159,6196.473582431342
8.7,15.159427769596984,17.76864494807693,17.53746194323032,17.729621273329933,18.52575029067771,19.978557259452597,21.246619763202556,21.54848067596913,21.493244693807075,22.41041831150077,22.041826257291426,23.11074373004806,24.432090608220527,26.039083811924087,26.7246456688919,27.055465595566872,24.570925667641607,26.12811284064675,25.007409472754503,25.973998986935225,28.9410178126733
8.8,6260.645088910895,7338.217604353322,7242.742051718325,7322.1013378708885,7650.892193195524,8250.882440349676,8774.575643496572,8899.240246261881,8876.428509189087,9255.209198840761,9102.985508799811,9544.43442283377,10090.133374621984,10753.800517049178,11036.928583504174,11173.552879666944,10147.470435502108,10790.568339681698,10327.732529322677,10726.921336903186,11952.261245663944
8.9,840.393860643013,985.0411475463184,972.2250451900181,982.8777903816847,1027.0128295551729,1107.552153058296,1177.849789569374,1194.584066199914,1191.5219466396575,1242.3673406194605,1221.9336867805885,1281.1913114938595,1354.442876201534,1443.5298287576215,1481.5353514226824,1499.8750301745151,1362.139481466113,1448.4653349188493,1386.3368532707832,1439.921718466588,1604.4044709464204
9.1,58131.19424175743,68136.64516816665,67250.13781680845,67987.00279041845,71039.88389202309,76610.89919558272,81473.48298413544,82631.0158158971,82419.20481240813,85936.25034565025,84522.82652617179,88621.7575796146,93688.66862686617,99850.93513781109,102479.82918828851,103748.4098833432,94221.0533533503,100192.33085805137,95894.81869885277,99601.35720775186,110978.85445232737
9.4,1627.6121405360445,1907.7542159187526,1882.9329448857795,1903.5643871368297,1989.041838776993,2145.024392747514,2281.171611325332,2313.5813100184137,2307.650825271377,2406.124391544869,2366.550015027872,2481.315762279825,2623.183928642023,2795.720892956235,2869.3271542510774,2904.846076018515,2638.090139594061,2805.2796131277014,2684.9538043145667,2788.7329740897335,3107.2908995844814
9.5,285.4213791408001,334.54766391080966,330.1949552808989,333.8129270041985,348.8024269747145,376.15584525378165,400.0308987292778,405.71432948537336,404.6743476043614,421.94287269992645,415.0030294517688,435.1285845781816,460.0068751062549,490.26330849161326,503.1710523508185,509.39972279629535,462.62085861112917,491.9395451245388,470.83896628124864,489.03789281024336,544.9008592790227
9.b,3376.6098512201916,3957.786697914752,3906.293012040585,3949.094567407967,4126.42428747894,4450.022407226242,4732.470558119663,4799.70703612117,4787.403777426651,4991.694963073834,4909.594795426289,5147.685396437635,5442.002105058017,5799.943655685135,5952.645654404435,6026.332461081331,5472.92621620924,5819.773975140359,5570.148587570654,5785.446666447647,6446.320226321423
9.c,49257.955775681345,57736.158669624085,56984.96921828728,57609.357943758485,60196.24239113206,64916.88900828451,69037.24022997022,70018.08539889431,69838.60556575564,72818.80364352113,71621.1270965261,75094.3907580013,79387.88039881011,84609.52869338522,86837.14415125498,87912.08666000531,79839.00106912942,84898.81322484805,81257.28019521703,84398.04673775368,94038.86460536014
10.1,3202.1031900378603,3753.244221064675,3704.411781703968,3745.0013087797565,3913.1664469945213,4220.04068393328,4487.891624624367,4551.653252464709,4539.985838801462,4733.719046391634,4655.861899634852,4881.647734128275,5160.753853307014,5500.19661738472,5645.006820152899,5714.88541706528,5190.07977466883,5519.002085586531,5282.277594137648,5486.448847423517,6113.167783731418
10.2,56063.98906314554,65713.63584275878,64858.65360647019,65569.31490218826,68513.6324054488,73886.53666319457,78576.2019607332,79692.57173201689,79488.29294610939,82880.26871543963,81517.10770368963,85470.27654441733,90357.00301275104,96300.13297559005,98835.54084423251,100059.00950234199,90870.45558967318,96629.38831216813,92484.70011446768,96059.43029394462,107032.33201058696
11.1,20049.418855727774,23500.293710108595,23194.537782711963,23448.68213134826,24501.61924577002,26423.059545245273,28100.16218126395,28499.39465680417,28426.341151150373,29639.368338195236,29151.879193218578,30565.59839550173,32313.173397463193,34438.535932847146,35345.240132422856,35782.77295863085,32496.792614527287,34556.283140347885,33074.073417302796,34352.45663373465,38276.54955427064
11.6,62.55541612532448,73.32235725541814,72.36838001504458,73.16132596521118,76.44655432122582,82.4415658653786,87.67422891840548,88.91985872033996,88.69192730355071,92.47664650179547,90.9556504799142,95.36654107078635,100.81908222644599,107.45034364977325,110.27931634544986,111.6444455897876,101.3919854419808,107.81772215664202,103.19313694161475,107.18177095873885,119.42518146978423
12.4,15.597159963006298,18.281718927203766,18.04386045641421,18.24156843428121,19.060685872187932,20.55544299836372,21.860121117794094,22.170698338422554,22.113867403733636,23.05752463449717,22.678289394356636,23.778072121200346,25.137573214428144,26.790968740867253,27.49632636453083,27.836698797694037,25.280417170227516,26.882568504621087,25.729504552223634,26.72400457560031,29.776696797340957
12.5,200.25967429320482,234.72805860587465,231.67407570121932,234.2125465091562,244.729601646896,263.9215299175164,280.6729395250536,284.6605945336233,283.9309139701377,296.0469972907776,291.1778079094301,305.29846392587086,322.753772890887,343.98253828073155,353.0389747287855,357.40918525206786,324.5878173022403,345.15863308890084,330.353872985521,343.1227521429039,382.31778197481884
13.1,7062.201371438261,8277.736510119239,8170.03713262985,8259.556862872296,8630.443120824018,9307.250683962653,9897.992820747837,10038.618349925076,10012.886004687089,10440.162342499383,10268.449310167183,10766.417344105505,11381.982646239818,12130.61971747862,12449.996936729196,12604.11337010465,11446.660624983426,12172.094959044398,11650.001844317647,12100.299170602966,13482.520501030376
14.5,6.517320494560378,7.639071582432637,7.539681700546553,7.6222945774515045,7.964565277898453,8.589154066878079,9.134317767624607,9.264093399210507,9.240346421154785,9.634656450960357,9.476191858131301,9.935739398979916,10.503811045246662,11.194687369887436,11.489423187664546,11.631648838981798,10.563498824487459,11.232962608394043,10.751151346194854,11.166706190766975,12.442282874440393
15.1,2025.3769332878105,2373.9816674209956,2343.0944378697886,2368.7679052733765,2475.1348059350994,2669.237233005449,2838.6568564963322,2878.9870153302154,2871.607206154113,2994.1462833099476,2944.9005033415247,3087.7133341300014,3264.252022040747,3478.954517161247,3570.549080791763,3614.748311708859,3282.8010946810114,3490.849249858845,3341.1175591324172,3470.258852308785,3866.667712960677
15.5,204.86852321793992,240.13017545405705,237.00590707692226,239.6027991745917,250.36189764149412,269.9955159242741,287.13244856049886,291.21187691067274,290.4654032135106,302.8603304790507,297.879079803667,312.32471372955274,330.1817455188882,351.8990774306037,361.16394199846184,365.6347301349966,332.05799929487273,353.1022393121174,337.9567570792112,351.0195038621272,391.11658235527835
16.1,37829.52043325224,44340.678774338085,43763.774267216446,44243.297334638715,46229.99362601617,49855.39372331165,53019.7741422386,53773.051491559476,53635.21312802698,55923.96957970312,55004.16832742819,57671.5932455511,60968.941897951336,64979.10528667254,66689.88729444958,67515.43027444101,61315.39717298189,65201.27234418978,62404.61856545541,64816.689676121016,72220.72240083953
