MetaODS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1.1,11299.605511128066,13244.476073380549,13072.155798806401,13215.388423309749,13808.810811589716,14891.710897297264,15836.90528547626,16061.907791199603,16020.735735239634,16704.382916562525,16429.6400390342,17226.394768149083,18211.306513739757,19409.134659821346,19920.1419784979,20166.730090098295,18314.79204277262,19475.495535633723,18640.140392639983,19360.621427111473,21572.191862650543
1.2,41826.13616535287,49025.185803028035,48387.33244953785,48917.51620240408,51114.10311787853,55122.519729739026,58621.21082508464,59454.070470729974,59301.66975044878,61832.22889845716,60815.252421301055,63764.48562749828,67410.19279323616,71844.02219474586,73735.5450157336,74648.30501628389,67793.25039858437,72089.66077257473,68997.54592636396,71664.4476887911,79850.70216334146
1.3,72462.50053508101,84934.63365681638,83829.5722477046,84748.09936969071,88553.6189593718,95498.07803475669,101559.4532563717,103002.3570971576,102738.32751452381,107122.44377359409,105360.56315835493,110470.0194068901,116786.0954700399,124467.56918086037,127744.57456539026,129325.903325159,117449.73104524048,124893.13049752114,119536.13618152014,124156.46184638435,138338.89712793432
2.1,16017.092616960254,18773.92973777118,18529.667246048266,18732.69824657134,19573.869325039293,21108.870785985022,22448.67561736472,22767.614713926076,22709.25368239342,23678.317620934355,23288.87197958983,24418.26488420639,25814.36872456806,27512.27971235397,28236.62814585692,28586.164651167237,25961.058562669234,27606.34567713325,26422.237021286102,27443.512626574127,30578.39450011168
2.2,5272.966922594605,6180.5418050438875,6100.128457248068,6166.9680376651695,6443.888910827137,6949.224811871412,7390.300275911424,7495.297814897336,7476.084853082136,7795.109173912674,7666.90026396457,8038.706282139818,8498.315872143643,9057.28301369746,9295.74485078829,9410.815324239193,8546.607449315969,9088.250351695986,8698.431429850674,9034.644287846779,10066.674808036281
3.1,665.6157118996314,780.1804551175638,770.0297394910358,778.4670150430147,813.42321462389,877.2126372505958,932.8903540480285,946.1443745427043,943.7190892253384,983.990079644984,967.8060477480054,1014.7397628858412,1072.757074379948,1143.316461024227,1173.4179101298482,1187.9434545205122,1078.8530034821351,1147.2255215266173,1098.0180064814933,1140.4587356023146,1270.7337286910386
3.2,17937.604427136543,21024.997059853762,20751.44654368375,20978.82175221394,21920.85252034029,23639.906637088392,25140.359287865183,25497.54042474692,25432.181678148685,26517.440158563782,26081.29846747351,27346.109981666483,28909.612111953003,30811.109242533523,31622.30987540205,32013.757169554614,29073.89063317185,30916.454082987337,29590.366185809064,30734.096715240044,34244.86313946449
3.3,3406.6323596247407,3992.9766338674117,3941.0251013112006,3984.207218873318,4163.113633690141,4489.588966884623,4774.548453809652,4842.382752647688,4829.9701017805955,5036.07770510951,4953.247558849743,5193.455098857557,5490.388670618037,5851.512793021448,6005.572513610297,6079.91449304041,5521.587737842911,5871.519430132173,5619.674544122755,5836.886906457824,6503.636502616481
3.4,1463.9745417883146,1715.9515676594517,1693.6257886964534,1712.182977761144,1789.0666590643123,1929.3669691251337,2051.8261576315376,2080.9774355140403,2075.643192500059,2164.216379239756,2128.6207491230207,2231.848126249144,2359.4530873279214,2514.6434530069682,2580.849455019449,2612.797359513559,2372.8606509635197,2523.2411542863997,2415.0127155598975,2508.35808865888,2794.8886946886537
3.6,4158.879681692271,4874.699597432478,4811.2762073004715,4863.993733696927,5082.405988075928,5480.973102593037,5828.856905472342,5911.670269926623,5896.516676571812,6148.136644105186,6047.016072248322,6340.265872070523,6702.767858795914,7143.6348549040395,7331.713806222032,7422.471867295207,6740.856256096165,7168.059326873757,6860.602440191083,7125.779302547668,7939.759519816026
