MetaODS,gasto
1.1,16803.93659781613
1.2,62200.73254433883
1.3,107760.86505954112
2.1,376119.5275742199
2.2,7841.565952227264
3.1,989.8543989218458
3.2,26675.477052137965
3.3,57284.32185851989
3.4,11383.605995483338
3.6,1362.8206315773293
3.8,410080.0756384491
3.9,68561.2569038932
4.1,309238.3678760784
4.2,49965.83602163924
4.3,61197.18612017264
4.5,39191.05776131609
4.6,169.53711738969713
4.a,103.29511527621716
5.2,45890.770124888775
5.6,8.174105046691889
5.a,2305.0244020049395
5.b,445.06927700267033
6.1,475803.54257458297
6.2,2262.6136001258974
6.3,1867.487414323824
6.4,128.80338505018477
7.1,28269.67022277835
7.2,24668.546356360093
7.3,461.69599163582063
7.b,2272.835808981491
8.3,51.90970421365811
8.4,14597.288946797607
8.5,3710.78240563136
8.6,4826.822877905978
8.7,22.543978446735156
8.8,9310.367785130304
8.9,1249.7715196810698
9.1,86448.40755120365
9.4,67226.88961052046
9.5,424.4575400459646
9.b,5021.444137991055
9.c,73252.78435405719
10.1,3746.2831667199644
10.2,83374.21308292232
11.1,29816.011093742534
11.6,93.02778272964821
12.4,23.19494135138073
12.5,297.8113586893151
13.1,10502.382934500452
14.5,9.692076441994917
15.1,16244.576056942262
15.5,304.66529753203764
16.1,56257.26157078014
