Abreviatura,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
pobr_extr,66.53333333333303,67.03144846686065,67.45906933582837,67.86540891738214,68.26642817708331,68.69338400581988,69.11834471386166,69.51670381263628,69.92437347465435,70.334703297599,70.73505751706891,71.154697903257,71.57566836990877,71.98799331354859,72.39300281464007,72.79136191341469,73.21499254099294,73.62000204208435,74.02501154317576,74.424035682182,74.84301102813866,75.25134573038832,75.66101051310153,76.07932081882633,76.48898560153941,76.899980464716,77.30365988534398,77.70334906458203,78.10636344497836,78.52400871047152,78.93766373457467,79.35996428168974,79.77893962764615,80.18860441035918,80.59760415284049,81.01125917694374,81.41759875849841,81.82792858144312,82.24623888716793,82.64792318710099,83.06556845259414,83.48919908017264,83.91083458705589,84.29988312258692,84.7082178248366,85.11322732592808,85.51690674655616,85.91925608672074,86.3302509498971,86.73459541075685,87.14492523370164,87.5536681711337,87.96193964843381,88.3504956488495,88.73615575827249,89.12224517786103,89.50792636226736,89.89176385611164,90.25296890709559,90.59312840073206,90.93064880842489,91.26462935987674,91.5916816289792,91.89788192083344,92.20326574232307,92.4884204768297,92.7799688086041,93.05785025052909,93.33395122684169,93.59542131805732,93.840265403481,94.0779454764894,94.3222548768315,94.5493153811163,94.75470743778838,94.95119716639918,95.13773236651811,95.33068223888775,95.49282560551761,95.66427953539083
pobr_mone,45.86666666666665,46.22693554586619,46.55915070086608,46.88349112626682,47.1812543392662,47.494767011466,47.80877185426646,48.11736282046605,48.42398510426599,48.74094297066619,49.06183820186587,49.37042916806576,49.681973157865976,50.00631358326617,50.317857573065716,50.62447985686586,50.93110214066597,51.23723225386565,51.54287019646581,51.84900030966593,52.1659581760655,52.48193170126562,52.784124449665704,53.08976239226548,53.39540033486547,53.70251478926554,54.00716839066536,54.308376797865336,54.596788769465405,54.89898151786521,55.20166643686522,55.50041399106528,55.79620852166507,56.104307317265025,56.39862533606509,56.708692814064854,57.01039339186479,57.30569575186487,57.61084152386462,57.913526442864544,58.21473485006463,58.53218488706446,58.823549882264416,59.117867901064535,59.42301367306424,59.7281594450642,60.03576607006439,60.3394353302641,60.644088931663966,60.95563292146423,61.25585698746392,61.558541906463745,61.87402326106392,62.19098112746371,62.49120519346362,62.798319647863714,63.10297324926381,63.417470262663635,63.725569058263574,64.02628529486365,64.32207982546342,64.62624125626347,64.9161297396636,65.21733814686321,65.52100740706337,65.81877062006342,66.11801034486314,66.41085185186317,66.70172467646324,66.99161315986306,67.29577459066304,67.58664741526302,67.87309070446288,68.16297918786282,68.45188333006287,68.73242057206271,69.02378556726266,69.31958009786257,69.59814865746247,69.8840997760625
pobr_multi,61.04000000000075,61.49863202105014,61.95596295835061,62.39963251630179,62.83679665551484,63.29087488344642,63.74235094388336,64.18602050183499,64.6127759710669,65.0538433615218,65.50141617071617,65.93923085180299,66.39005637036558,66.81876346521874,67.25202435318863,67.69114011802226,68.13220750847819,68.56156514520538,69.01108958002116,69.45020534485468,69.89192327718447,70.3290874163975,70.74478367377337,71.18585106422934,71.61846141032564,72.05107175642087,72.47197234878816,72.90328161113669,73.34695116908784,73.78866910141727,74.22258053126095,74.6564919611045,75.09495718406467,75.5262664464129,75.97253817185948,76.4110033948195,76.8468664502847,77.27947679638086,77.70623226561258,78.13493936046513,78.57600675092125,79.00926763889117,79.45423828058937,79.90766596664798,80.34352902211332,80.76052636323745,81.19769050244987,81.6550214397515,82.07982528336163,82.5163388807003,82.96065898052517,83.39522095224255,83.84409484518413,84.28386115189208,84.72167583297883,85.13737209035558,85.57063297832497,86.00844765941142,86.4404074636339,86.86651239099122,87.30544380108861,87.62940330428738,87.91946418761091,88.19507019484448,88.44689827245887,88.68520999558201,88.91542516650047,89.14217216075409,89.3542467416286,89.54825117489541,89.75772151828109,89.95316999016116,90.14948654120442,90.33922516107974,90.5004849633659,90.657263484965,90.80818712969969,90.95809974040547,91.11704742491527,91.26486338514015
pobl_pensi,28.208095017794275,28.392411890915312,28.573486383318894,28.74508314747032,28.911192805791394,29.08603195066075,29.270348823782424,29.447432693763936,29.63025308347745,29.808584022965974,29.99015734317241,30.168488282660903,30.346569808248073,30.532383164778135,30.716700037899933,30.89927101371193,31.08184198952397,31.2579282039001,31.43625914338866,31.614590082877246,31.79940578380176,31.98472031252897,32.16803953004522,32.348864608547665,32.5366732762887,32.72547959963525,32.91428592298185,33.09560982928702,33.275437252183885,33.46299650602354,33.65379814058128,33.83487263298501,34.02168364512059,34.205501690439526,34.391315046969574,34.57638016179543,34.7646876573393,34.94675980534854,35.13157550627304,35.314894723789315,35.50270339153034,35.69126030097561,35.87881955481531,36.06737646426055,36.24595681765044,36.43152076027913,36.622072980935414,36.80638985405712,36.99444793569964,37.18300484514492,37.36856878777357,37.558871594528476,37.751169712494466,37.93448893001057,38.12254701165307,38.311103921098386,38.503651452965684,38.69894253774822,38.89074182791149,39.085534084891265,39.277582788955854,39.46988090692175,39.6524518827339,39.840759378277696,40.02781980431463,40.21512964425299,40.40543245100787,40.59498701605863,40.783294511602556,40.971103179343615,41.1614059860985,41.35245703455753,41.536025665975174,41.724831989321856,41.918127762893306,42.108430569648235,42.30347224052938,42.497266841903695,42.6875696486586,42.88111483613153
lacta_bebe,36.390510118854216,36.44690449780692,36.504792767592825,36.55558505592117,36.60525692612465,36.66239825049411,36.713190538822474,36.77145228131678,36.820750678811976,36.87714505776484,36.930178182343056,36.983584779629545,37.03699137691603,37.09936131920166,37.15724958898774,37.21775216773185,37.27452001939301,37.330167452929274,37.38469446834064,37.438848011043696,37.49486891728825,37.56060011394851,37.61400671123497,37.67973790789523,37.73986701393102,37.797381811008805,37.852282299128404,37.91054404162276,37.96469758432582,38.02109196327863,38.0808475966061,38.13537461201749,38.194383299928425,38.26048796929695,38.31837623908299,38.37850534511876,38.43527319677992,38.49502883010743,38.55104973635194,38.603709388221795,38.660477239882916,38.72620843654322,38.79156616049517,38.85281568465584,38.91593257235805,38.98091682360171,39.038431620679425,39.099681144840105,39.17624305004093,39.23749257420165,39.29351348044617,39.3514017502322,39.411157383559676,39.47315385313693,39.53776463167233,39.59602637416668,39.65615548020248,39.724127513112514,39.78649745539804,39.84737350685042,39.91049039455258,39.97622159121289,40.03821806079015,40.104696202866975,40.167439617860836,40.23951985056216,40.29778159305651,40.3608984807587,40.42513578658571,40.48937309241278,40.548755253032,40.604029213859974,40.666399156145594,40.71905880801548,40.77657360509318,40.83707618383727,40.900566544247745,40.9670446863246,41.031281992151634,41.092904989020674
desnu_menor,54.71897523751467,55.19219531286991,55.64438338487424,56.07495523121465,56.506111299869815,56.93200936768752,57.36900765949513,57.80892706287937,58.24534113237174,58.676497201028376,59.121090382934284,59.56568356484025,60.00618719053975,60.43559059224919,60.87083621711099,61.31835051059314,61.75301191314011,62.18650487105627,62.619997828973865,63.047648563737624,63.47354663155549,63.90703958947194,64.3376114358119,64.77811506151099,65.21745024257962,65.64977475586554,66.08502038072749,66.52552400642801,66.94966940730032,67.37615169743368,67.80964465534993,68.24897983641844,68.68364123896508,69.11947108614237,69.55413248868916,69.98178322345304,70.41761307063126,70.8528586954935,71.29102543193176,71.7227657229024,72.15392179155776,72.58332519326683,73.00162837098672,73.4333686619571,73.87036695376507,74.27698568518049,74.68302019428035,75.08145981328128,75.48223632154384,75.88593394138243,76.27502600333935,76.68047629012385,77.0841739099618,77.48027663970217,77.88689537111753,78.28533499011905,78.67325860744552,79.0594295578266,79.44969006441468,79.85046657267652,80.25416419251529,80.6397509205805,81.0370220949521,81.43312482469219,81.80819555108376,82.20137716924728,82.58871656425919,82.98189818242331,83.3709902443802,83.76417186254464,84.15618503607752,84.53768220793756,84.91742671285029,85.30301344091629,85.68509483509015,86.07301845241713,86.46094206974432,86.85003413170102,87.15567387838647,87.37806535260248
mort_desnu,70.1455643907701,70.48284133102943,70.7753706376302,71.07591444578111,71.3631007513475,71.65229068230163,71.9474914894187,72.24937104782796,72.53989672904049,72.84778716361289,73.12695896762852,73.42683490065005,73.72804658393011,74.0352691433733,74.33113782561958,74.62767438299495,74.92955394140434,75.2267583739091,75.52596643180145,75.83719624201997,76.13440067452466,76.44830198526006,76.74951366854,77.04671810104486,77.33791165738653,77.62977308885753,77.9209666451994,78.21616745231641,78.50468950814124,78.81057631732578,79.10310562392598,79.40031005643063,79.69083573764313,79.97935779346794,80.26454047364669,80.5684236574436,80.84959908684691,81.1601610219362,81.45602970418255,81.75790926259182,82.0604566961304,82.35231812760128,82.64484743420145,82.9520699936445,83.26797492976752,83.55210236439262,83.81725296402382,84.09569302672759,84.35282912480803,84.61076500371189,84.86402575671114,85.10967189857139,85.36072908097711,85.59909663592757,85.83712816664891,86.07356013572337,86.29649852318998,86.533198476982,86.75406937287849,86.97220072874633,87.18038199718754,87.39183460176305,87.59841213522822,87.78114610924717,87.96635163857718,88.16618238123861,88.36240993686543,88.53752929974549,88.70470220058641,88.88028949338985,89.05053378515953,89.21369943522515,89.36283970757704,89.52373374753745,89.68402795188035,89.84558986697006,89.99740163983887,90.15141698330119,90.31231102326166,90.4534367940629
mort_mater,64.09612314845583,64.6020772473962,65.04335436605274,65.47398843731987,65.89643554905685,66.31478918102877,66.75279151587219,67.16213949236146,67.58049312433366,68.00048414821183,68.41883778018409,68.84374097977995,69.28338070652931,69.70746521017223,70.12008797047339,70.54089769030467,70.96661958585354,71.38988539354361,71.80660163360966,72.22168048176975,72.65558933684845,73.08131123239721,73.49966486436954,73.90082588132907,74.33800952021966,74.73998923313206,75.15261199343325,75.59143302422986,76.01961100763748,76.44615159913953,76.8759669744534,77.31233191739095,77.73641642103394,78.16131962062975,78.58949760403762,79.03404950650486,79.4646835777718,79.89122416927364,80.31694606482253,80.75822318347817,81.18394507902694,81.62522219768235,82.05258148513724,82.48485294830998,82.8997254141651,83.29020582492508,83.65636284725458,84.01762021346997,84.36834075777242,84.70351859857205,85.03226561682715,85.34276383395789,85.64379393489126,85.9569732104362,86.2418668824692,86.52511064299252,86.79163676882142,87.05722545361778,87.31580211007578,87.57881596193381,87.82838696290916,88.06637747546328,88.32681649438277,88.58211836702887,88.81987138942398,89.05879934301056,89.27842230936051,89.49138948261088,89.6815393946537,89.88596337313581,90.09611822328858,90.28954291914327,90.48028655658364,90.665880528147,90.83370067890404,91.000464643549,91.15061719897547,91.30148222487884,91.45105357451123,91.59630647382336
parto_medi,75.26886310605285,75.7819710851873,76.2321869054436,76.67319899513237,77.09120175840302,77.5444854888485,77.98012873570731,78.41040313973437,78.83607567847795,79.27018497024153,79.70352728445823,80.13073377829645,80.55487236194529,80.97977792314147,81.41312023735831,81.85566628214222,82.28133882088576,82.73232161868968,83.16566393290644,83.60744300014298,84.04385322454827,84.4756615836702,84.9197415835487,85.3599866956905,85.78182434669759,86.22590434657633,86.66001363834013,87.09719084029298,87.54433875036037,87.97614710948254,88.4156252440774,88.84973453584087,89.28767871534083,89.67400324190369,90.01382214651564,90.31630923078748,90.62112835974925,90.92497709975902,91.21099750080026,91.48070796194365,91.75137325601524,91.99099929345778,92.21700759043004,92.44052709937964,92.65388804483361,92.87031690047678,93.08732487828652,93.29243692610119,93.48371226601655,93.66637855355512,93.83775914531336,94.01067369216616,94.17897081771109,94.34402773371012,94.51522047008751,94.6737502989227,94.8382280927553,95.00115637546924,95.12917940176969,95.27085128058864,95.39600980810478,95.5255823455239,95.65152340661139,95.77477226827149,95.89478092038556,96.01056341797758,96.1037122999126,96.191132184279,96.27625113600365,96.35675266642049,96.45431555825846,96.55090806114424,96.62719899306312,96.71037716688349,96.78724722096878,96.86180078638827,96.9256322221697,97.00020134361311,97.0734088093187,97.14528573133458
contro_prena,44.960583602760174,45.22733988909086,45.55265243339676,45.88802009270886,46.224570706727086,46.5599383660388,46.895897502703995,47.2259418658364,47.55894361573492,47.89312832034027,48.2320448437718,48.56504659367042,48.91756709622755,49.243471117886834,49.58652798279124,49.93490814387533,50.2690928484806,50.601503121025914,50.92563271062526,51.28465946406852,51.62180155544011,51.9689987618175,52.29904312494992,52.633227829555175,52.987522764171985,53.325256332896856,53.66298990162185,53.995400174167216,54.333133742892166,54.66731844749752,54.997362810629745,55.34515149436046,55.6740129027862,56.01292942621764,56.36071810994837,56.69845167867335,57.0361852473983,57.37569324818301,57.71106090749485,58.04820299886666,58.37588145258575,58.711840589250784,59.05903779562819,59.40150318317952,59.748700389556944,60.104178278880305,60.46379650967685,60.822823263120014,61.18066706185654,61.54797449824562,61.908184206395404,62.26839391454509,62.62623771328168,62.98763037613792,63.35552928988038,63.71692195273661,64.07299131941339,64.43024364079669,64.79577664512597,65.16130964945526,65.52802560849116,65.89237565811376,66.25258536626349,66.61930132529932,66.96531557697021,67.3219764210003,67.66562476325811,68.02110265258149,68.37776349661141,68.72436922563563,69.07452381877957,69.41521477427084,69.75353982034909,70.09009043436758,70.44970866516405,70.8099183733137,71.17485990028968,71.54630767815179,71.91302363718766,72.27500777739726
