Abreviatura,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
pobr_extr,66.53333333333303,67.05738503589603,67.49764166926562,67.94787390611003,68.36219397044485,68.80976604636339,69.22674627162512,69.66301266360514,70.0966188946587,70.54153080965057,70.98777280510613,71.42536927754962,71.8623007097616,72.31253294660708,72.75012941905064,73.18041044894571,73.60470611675566,74.02700666387085,74.46792833747281,74.91417033292808,75.35243184560325,75.7787226341083,76.20434838238185,76.65857086061717,77.085526689354,77.51647275948062,77.94276354798575,78.37703481927089,78.81130609055593,79.2469074423045,79.67918359289462,80.104809341168,80.52910500897778,80.96537140095799,81.40895323548668,81.84920986885702,82.27949089875196,82.71908249189046,83.15933912526064,83.58296975283902,84.01524590342915,84.45151229540924,84.90307461271806,85.33269060238139,85.76829195413,86.18660225985482,86.62685889322526,87.06778056682711,87.48476079208861,87.92169222430041,88.34665293234211,88.77084322523591,89.17836536237124,89.57554581081547,89.97377845969058,90.34718996491078,90.71950711973399,91.07783735470836,91.42106524445404,91.76562321466277,92.10108527671088,92.42152929346291,92.72545658458989,93.01706814131397,93.29868301957954,93.57122306466765,93.8370916324558,94.07966271715186,94.30991806744537,94.53545491116726,94.76472519122994,94.99315792594464,95.21277263253111,95.41876650448506,95.60311300380943,95.78477826722384,95.95402242131921,96.12790078205303,96.29577270571862,96.45480552627292
pobr_mone,45.86666666666665,46.23038074006618,46.56899411286612,46.89431887946688,47.21669062246621,47.53167980646607,47.859465426066535,48.189711898666,48.51454449466596,48.831010190466245,49.15141325106578,49.4831362354657,49.79960193126593,50.114591115266066,50.44090022306569,50.75884243066591,51.07087859106598,51.370610486465594,51.677724940865836,51.987300248265875,52.30967199126549,52.61383342206565,52.922916558865715,53.2443039606655,53.550926244465565,53.864931087265546,54.180412441865364,54.48654255506544,54.78332142686547,55.088467198865246,55.3985346768652,55.705649131265254,56.02506785066496,56.33267447566499,56.64717148906503,56.95871547886481,57.27665768646483,57.59706074706486,57.91401861346461,58.23146865046454,58.544489152064585,58.8639078714644,59.17299100826436,59.479613292064386,59.788696428864164,60.10270127166411,60.40784704366438,60.71939103346407,61.04520797066408,61.35625978986411,61.67617067986377,61.999526764063795,62.32042199526395,62.6432859088636,62.94744733966356,63.255053964663695,63.56758229566379,63.890938379863485,64.19903717546357,64.51058116526367,64.82557034926343,65.12825526826337,65.43930708746348,65.74297634766319,66.0471377784632,66.36015828006332,66.67071792866304,66.97635587126307,67.27067389006302,67.56843710306288,67.8671846572629,68.15953399366295,68.45532852426264,68.75309173726262,69.04298022066278,69.3397590924625,69.63456928186238,69.9259342770625,70.22812702546234,70.53278062686236
pobr_multi,61.04000000000075,61.51229340040057,61.98198463330378,62.432810151866995,62.87908187731368,63.326654686506984,63.79894808690651,64.26473606856818,64.72922296648213,65.19305932252101,65.65559459481352,66.11422661586279,66.5559445481918,67.01782927861018,67.48231617652391,67.93574386258187,68.40413401173846,68.86081440716647,69.30838721636073,69.77092248865208,70.22565125845847,70.6797294863911,71.14291530055633,71.6132570753346,72.07709343137489,72.53377382680162,72.9826477197436,73.44453245016204,73.91032043182332,74.35529107352181,74.81327255269721,75.2673507806295,75.72793442729984,76.182663197106,76.63739196691228,77.1031799485732,77.555306550884,78.0210945325452,78.47192005110875,78.92860044653598,79.3898346350807,79.85171936549911,80.30384596780931,80.7527198607513,81.1957388768288,81.65241927225632,82.1038953326931,82.57488764934521,83.0341702122681,83.48954952394793,83.93647179126788,84.38729730983098,84.85243474961842,85.31562056378422,85.77295150108561,86.23548677337821,86.69021554318394,87.15470244109721,87.61008175277765,88.06025672946647,88.50004379876545,88.81178803122098,89.07387768396349,89.3392221160687,89.59235127743051,89.83817945332089,90.05711994508866,90.25762772710011,90.45228063224712,90.64035560622614,90.82185471903075,90.99742644254124,91.1750223041029,91.33707767312234,91.49407373201046,91.65273136680138,91.79910121841921,91.94315895226055,92.09292446811344,92.23676466466577
pobl_pensi,28.208095017794275,28.404633172082992,28.594187737133623,28.781497577072198,28.962821483377677,29.146639528696834,29.341182371775048,29.5302381090229,29.71455498214475,29.909097825223206,30.102393598794524,30.286959885817577,30.47925800378358,30.671556121749656,30.862357756307386,31.051662907456656,31.246205750535033,31.4380050406983,31.629305503058777,31.820356551517982,32.013901738990796,32.21393168789962,32.40647921976698,32.59952557943713,32.79332018081132,32.9876136099883,33.18115879746123,33.37245925982171,33.569995069716754,33.764039084992405,33.95633720295838,34.15162828774088,34.34666995862209,34.539466904390764,34.73301209186373,34.934787938082174,35.13157550627301,35.327864246661235,35.52589888435892,35.716451105015175,35.915732812219886,36.10977682749557,36.30307260106711,36.498114271948275,36.69165945942116,36.888447027612,37.08598283750709,37.28177275009242,37.482301526803944,37.68507502862803,37.87961787170647,38.07889957891117,38.27518831929927,38.47297354309568,38.670758766891986,38.8670475072801,39.060343280851676,39.26361561047843,39.46564087059829,39.66342609439466,39.86121131819109,40.05974478369163,40.25678176578385,40.45257167836919,40.646865107546255,40.84614681475095,41.04318379684323,41.24146784844227,41.44174721125256,41.64626661038636,41.837567072746765,42.03285815752931,42.230892795227106,42.43466395265666,42.63269859035448,42.83397560877023,43.03375614377766,43.23827554291135,43.43705842231328,43.637587199024914
lacta_bebe,36.390510118854216,36.4476514432235,36.502925404051375,36.561934091962236,36.62318361612289,36.68219230403382,36.740454046528164,36.79460758923124,36.856977531516854,36.91001065609505,36.97163365296407,37.025787195667135,37.08218157462,37.13782900815628,37.19683769606723,37.25734027481134,37.32120410793013,37.38544141375718,37.44594399250126,37.506446571245405,37.564708313739736,37.63118645581658,37.69318292539391,37.76376926726207,37.82912699121405,37.883654006625406,37.937060603911824,37.99681623723933,38.06105354306641,38.12454390347689,38.190275100137164,38.25152462429788,38.31650887554156,38.37626450886902,38.436767087613106,38.501751338856806,38.56748253551704,38.631346368635825,38.69819798342094,38.76803737987242,38.84011761257374,38.899499773192964,38.97494126026891,39.03581731172131,39.10266892650645,39.174002213791134,39.2374925742016,39.29650126211252,39.360365095231295,39.42273503751687,39.48510497980247,39.550462703754434,39.60760402812383,39.674829115617264,39.73831947602771,39.80890581789581,39.875757432680956,39.94559682913245,40.01170149850096,40.08340825849401,40.1439108372381,40.20590730681536,40.27537323055861,40.34483915430186,40.41281118721194,40.48078322012195,40.53979190803286,40.612245613442525,40.6768563919779,40.741840643221536,40.816535184880934,40.88973583570715,40.9577078686172,41.024932956110625,41.09589277068705,41.16461174901373,41.23183683650713,41.29644761504251,41.364046175244255,41.43089779002938
desnu_menor,54.71897523751467,55.20271131454449,55.67417872295206,56.14038813052284,56.599586870310056,57.05936983241228,57.52616346229768,57.984193757454726,58.44397671955713,58.91252301638993,59.375811312383874,59.840268053008394,60.29187190269773,60.75574442100693,61.21319049384825,61.682321012994684,62.12866686184663,62.58728137931855,63.04940123068355,63.50334196963358,63.954945819322475,64.41122344753379,64.88444352288701,65.34130537341308,65.79991989088502,66.25619751909615,66.71948581509012,67.17401077635692,67.6337937384595,68.0859818104639,68.54109099404444,68.994447510679,69.44079335953076,69.89006031995875,70.3475063928003,70.80495246564189,71.25655631533199,71.71166549891278,72.17144846101523,72.62129964375873,73.07582460502415,73.52801267702796,73.97552697051039,74.43005193177544,74.88691378230203,75.31748562864281,75.74572058572224,76.16869754196364,76.58992183125997,77.00647234203424,77.42711240901451,77.84483136441945,78.26371876445397,78.69662750005516,79.10967267693819,79.53089696623468,79.94452636543203,80.3552346530538,80.76243760678418,81.17314589440518,81.58969640517961,82.01559447299704,82.42980809451102,82.84402171602375,83.24304555734075,83.6508327333856,84.05336190859391,84.46757553010737,84.8858787078265,85.29600277313331,85.71547439548289,86.1285195723667,86.54039630461811,86.94993614760949,87.34603887734924,87.75557872034062,88.15986056249488,88.55713173686496,88.88215708920819,89.10251517131243
mort_desnu,70.1455643907701,70.46080145176492,70.77537063763022,71.0866004478487,71.38647638087048,71.70505281751024,72.01695050285807,72.32216943691347,72.63072774661498,72.91657830192284,73.22647236188293,73.51833379335375,73.82088122689235,74.12276078530165,74.4373299711662,74.73453440367102,75.03374246156335,75.33228264432653,75.63215857734812,75.92936300985286,76.22322806671144,76.51175012253638,76.8276550586593,77.14422786991157,77.43942867702854,77.73596523440408,78.03316966690898,78.33571710044734,78.6369287837276,78.94882646907519,79.25337752800147,79.5572607117984,79.85914027020776,80.14899807629084,80.43818800724493,80.73004943871587,81.01790361941146,81.32445830372531,81.63502023881449,81.93957129774094,82.24812960744242,82.56069516791919,82.85990322581176,83.1564397831873,83.4462975892704,83.75861185834633,84.04019135149052,84.3192992893236,84.57463170722217,84.83477115671954,85.08048533809144,85.31992065858289,85.57324945109362,85.83526062028447,86.06915299453631,86.29369511697887,86.52110868514421,86.75332928490828,86.98869348844184,87.21149997021432,87.4247562549718,87.64341940694567,87.84345009481287,88.05744229421119,88.2803806816777,88.48228308923832,88.67590301053086,88.86531573584209,89.0580678367993,89.2365946148371,89.42200008937304,89.59992703179337,89.78226111540052,89.94923407103576,90.11219977589548,90.27389777000843,90.43152047383448,90.58106063659817,90.73594380039559,90.8872876433411
mort_mater,64.09612314845583,64.63073160575041,65.11130613015014,65.55585803261795,66.01760255009783,66.47361619590676,66.94109158505738,67.38973696728945,67.86458062001729,68.33778688083902,68.7807013914006,69.23589634125669,69.68945389920678,70.1487423288277,70.60311858273074,71.05585744472829,71.50695891481938,71.9621538646757,72.40916185500183,72.88154941987048,73.35311828878619,73.82386846174887,74.28151949946418,74.74735749670893,75.21073940609493,75.67248392357473,76.117035826042,76.60006643829945,77.07491009102706,77.53337982469517,77.99348695026912,78.43885754868954,78.89650858640465,79.35252223221376,79.82654718898839,80.2817421388444,80.74348665632455,81.21587422119315,81.6743439548612,82.15737456711868,82.64531735509374,83.12179839972742,83.58518030911317,84.04692482659335,84.5009383943009,84.90474291086383,85.29544829217916,85.65949294228471,85.99348333228897,86.33031108459825,86.63588460640734,86.9595881842616,87.26529297075396,87.56608558152834,87.85294784149839,88.10964961589154,88.36915119377858,88.61965963578638,88.86536212755219,89.10604621812425,89.35584218965509,89.59195782014413,89.8348605084161,90.06606396318743,90.2882617624759,90.50261631786942,90.7069215512719,90.91765760721874,91.10956365624698,91.29398269661891,91.4616715826927,91.6417721727444,91.79754937436576,91.96068231996027,92.120777971902,92.28332971170246,92.4136085937019,92.55674912078989,92.69357757041321,92.83110597091004
parto_medi,75.26886310605285,75.78503899537638,76.25289529922021,76.71614973778038,77.16636555803697,77.61274649055696,78.05145764760483,78.50474137805062,78.9557241758546,79.38829951252357,79.8484860408954,80.29640092851025,80.73357813046299,81.19376465883416,81.6524172321114,82.11030282784104,82.55668376036134,83.00920051325969,83.45174655804396,83.91116610886809,84.3813233453543,84.85301453693488,85.30246337964435,85.76188293046835,86.21900154865055,86.68148900966413,87.14397647067743,87.59956113376502,88.05974766213639,88.498458819184,88.9617132577447,89.41576396573777,89.87211560637259,90.24898632289116,90.58960331709842,90.91181285017069,91.21506691198974,91.49031851532105,91.76882588422214,92.02433948272875,92.2702580838821,92.5029657673751,92.74509614886442,92.95443435120113,93.16259875318087,93.3799824417522,93.56667147240796,93.73072688740683,93.90958939925702,94.07827779158761,94.25347771505825,94.41542005279595,94.57222807115572,94.72232114697056,94.85150241760408,94.99815187246826,95.12791226526817,95.2607561242813,95.38286229763237,95.50534418174506,95.63319490868875,95.73917899752281,95.84881011871244,95.94850164383551,96.04664365783998,96.14113863948882,96.2270245687608,96.29697626889647,96.37422203374338,96.4510920878287,96.51933753351302,96.59735027590719,96.66961846470879,96.74723994031727,96.81892900695249,96.87988038792555,96.94679528992025,97.01025101494014,97.06603696448708,97.13121449998232
contro_prena,44.960583602760174,45.23443761733025,45.5798603916477,45.925283165965645,46.27484628175614,46.61080541842113,46.95918557950533,47.30105948970336,47.652397037553676,47.99959424393123,48.33732781265625,48.6904397925666,49.02876483864485,49.38069386384865,49.73794618523193,50.09224111984874,50.42820025651385,50.77894632701098,51.118454327795725,51.46979187564632,51.806933967017805,52.15117378662884,52.49245621947363,52.847934108797126,53.19335688311463,53.55593250067747,53.891891637342745,54.24382066254648,54.585694572744316,54.92342814146936,55.26234466490075,55.61486516745786,55.95969646442213,56.29565560108714,56.62392553215954,56.97526308001004,57.32127733168083,57.671431924824766,58.02336095002853,58.35044792639442,58.70296842895148,59.05312302209541,59.40978386612545,59.758164027209446,60.108318620353316,60.47799196615556,60.84293349313167,61.206100588047796,61.57459097914347,61.94603875700559,62.3068399425085,62.66941556007135,63.04618663411302,63.41763441197506,63.78849071248387,64.14929189798697,64.51245899290308,64.87799199723231,65.24884829774119,65.61319834736386,65.97222510080705,66.34189844660936,66.70506554152544,67.07710479674081,67.45032700666286,67.8052134186329,68.15536801177682,68.50729703698057,68.86573231307037,69.22357611180693,69.57727956907061,69.92684268486133,70.28291205153796,70.62419448438246,70.9909104434184,71.3564434477477,71.71665315589739,72.09519866199898,72.4719697360406,72.83868569507639
mort_menor,59.79988245446255,60.33682417634311,60.854358366107476,61.35183810601849,61.85837469424982,62.356501351897954,62.86303794012978,63.367633775150026,63.847646736156385,64.350301817965,64.85036922882485,65.33814520267777,65.83303727163995,66.33698618892144,66.82993750467173,67.32806416231978,67.8242500667562,68.31978905345542,68.8114465337315,69.31280778006568,69.80834676676498,70.2948289051435,70.78454563220765,71.27879078343257,71.77174209918313,72.25693040208722,72.74017795177973,73.22601317242098,73.71767065269714,74.21062196844768,74.69904486003777,75.20234685958302,75.69400433985898,76.17725188955131,76.66308711019256,77.16380143878948,77.65287124811668,78.13547188007195,78.61160333465511,79.09679163755919,79.58262685820019,80.07040283205299,80.54653428663617,81.02978183632858,81.51302938602093,82.00339303082255,82.48664058051503,82.96794737699581,83.44990109121383,83.94220548922614,84.42739379213013,84.90999442408534,85.403592657573,85.88942787821424,86.38173227622744,86.86239215497103,87.33981744502861,87.81271431092573,88.29272727193212,88.77985632804756,89.26051620679105,89.73405999042541,90.22507055296428,90.52594892527846,90.78125703146927,91.03205349923067,91.24652296300424,91.45313819609258,91.65569787994559,91.84901827980012,92.01969655885243,92.19564979050675,92.36429609850869,92.53682391293377,92.67995838280268,92.82096966378235,92.95949288451754,93.0917293635583,93.22248957144701,93.34760995537856
