Abreviatura,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
pobr_extr,66.53333333333303,67.19837356501199,67.8634137966874,68.52845402836276,69.19349426004152,69.85853449171768,70.52357472339637,71.18861495507167,71.85365518675025,72.51869541842665,73.18373565010518,73.84877588178038,74.5138161134588,75.17885634513581,75.8438965768134,76.5089368084886,77.17397704016685,77.8390172718442,78.50405750352242,79.16909773519738,79.83413796687549,80.49917819855324,81.16421843023127,81.82925866190637,82.49429889358431,83.15933912525934,83.82437935693751,84.48941958861535,85.15445982029037,85.81950005196815,86.48454028364647,87.14958051532422,87.81462074699921,88.4796609786768,89.14470121035559,89.80974144203255,90.47478167370753,91.13982190538505,91.80486213706406,92.46990236874157,93.1349426004165,93.79998283209376,94.46502306377309,95.13006329545046,95.79510352712533,96.46014375880266,97.12518399047748,97.7902242221571,98.45526445383436,99.12030468550917,99.78534491718635,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
pobr_mone,45.86666666666665,46.35883726666605,46.850515696066026,47.34219412546754,47.833872554865565,48.32555098426562,48.81722941366714,49.30890784306515,49.80107844306549,50.292756872466754,50.784435301864676,51.276113731265056,51.76779216066642,52.25947059006688,52.75114901946464,53.24282744886603,53.734013707666534,54.22569213706428,54.717370566465895,55.208556825266186,55.70023525466386,56.19191368406548,56.683592113465885,57.17477837226447,57.66694897226507,58.15813523106552,58.649813660464005,59.14099991926471,59.6326783486654,60.12435677806356,60.616035207464314,61.107221466265024,61.59889989566315,62.0900861544639,62.58176458386465,63.07295084266271,63.56462927206346,64.05581553086431,64.54749396026226,65.03917238966307,65.53035864846395,66.02203707786202,66.5142076778627,67.00637827786355,67.49805670726178,67.99022730726254,68.4819057366637,68.97407633666117,69.46575476606186,69.95694102486361,70.4486194542612,70.93980571306219,71.4319763130626,71.92365474246026,72.41533317186122,72.90750377186284,73.39918220126383,73.8908606306616,74.38204688946158,74.87372531886253,75.36491157766042,75.85659000706201,76.34826843646304,76.83994686586105,77.33162529526068,77.82281155406156,78.31448998345955,78.80567624226137,79.29735467166229,79.78854093046115,80.28021935985961,80.77189778926055,81.26308404805944,81.75476247746056,82.2459487362617,82.73713499506049,83.22832125385862,83.71950751265972,84.21118594205859,84.70237220085974
pobr_multi,61.04000000000075,61.68989133195587,62.33978266390872,62.98902345399026,63.638264244071834,64.28815557602458,64.9386974498536,65.58858878180989,66.23782957189144,66.88707036196963,67.53631115205197,68.18555194213315,68.83479273221253,69.48403352229381,70.13327431237504,70.7825151024547,71.43175589253586,72.08099668261755,72.73088801457375,73.37947826277768,74.02871905285942,74.67861038481581,75.32850171676796,75.97839304872454,76.62763383880612,77.27817571263144,77.9280670445882,78.57795837654326,79.22784970849771,79.87774104045238,80.52763237240677,81.17687316248721,81.82611395256833,82.47600528452243,83.1258966164773,83.77513740655792,84.42437819663827,85.07426952859299,85.72351031867643,86.37340165062837,87.0226424407121,87.67253377266611,88.32177456274418,88.97101535282789,89.62090668478244,90.27079801673624,90.92003880681763,91.56927959689821,92.21852038697814,92.868411718934,93.51765250901387,94.16689329909369,94.81613408917606,95.46602542112967,96.11526621120987,96.76580808504185,97.4163499588674,98.06559074894706,98.71548208090533,99.36472287098303,99.9423193105184,99.94362039426605,99.94427093613987,99.94557201988754,99.94615004933165,99.94680059120549,99.94745113307931,99.94745113307931,99.94810167495314,99.94875221682697,99.94875221682697,99.9494027587008,99.95005330057462,99.95070384244846,99.95135438432229,99.95135438432229,99.95135438432229,99.95135438432229,99.95265546806993,99.95265546806993
pobl_pensi,28.208095017794275,28.45750891917587,28.706922820558496,28.95633672194162,29.20575062332475,29.45516452470738,29.70457842608893,29.953992327471685,30.203406228854824,30.4528201302375,30.702234031618957,30.951647933002093,31.20106183438476,31.45047573576793,31.699889637150616,31.949303538532114,32.1987174399148,32.44813134129798,32.69754524268068,32.94695914406385,33.19637304544518,33.44578694682799,33.69520084821107,33.94461474959378,34.19402865097534,34.44344255235795,34.69285645374091,34.94227035512428,35.19168425650682,35.44109815788856,35.69051205927115,35.939925960654,36.18933986203711,36.4387537634183,36.68816766480185,36.93758156618425,37.18699546756702,37.436409368950244,37.68582327033147,37.93523717171476,38.18465107309747,38.43406497447974,38.683478875863464,38.93289277724457,39.182306678627995,39.43172058001068,39.681134481392874,39.93054838277524,40.17996228415741,40.429376185541294,40.678790086923804,40.92820398830594,41.17761788968843,41.42703179107061,41.676445692453036,41.925859593836684,42.175273495217674,42.424687396601705,42.67410129798374,42.92351519936611,43.17292910074992,43.42234300213087,43.67175690351467,43.92117080489697,44.17058470627924,44.41999860766307,44.669412509044,44.91882641042787,45.16824031181018,45.417654213192066,45.66706811457502,45.91648201595689,46.16589591734116,46.415309818723316,46.66472372010516,46.91413762148829,47.163551522870094,47.41296542425221,47.662379325636245,47.91179322701833
lacta_bebe,36.390510118854216,36.47939662342866,36.56006672842074,36.64970017841198,36.72252735652993,36.80693218860506,36.888722711722124,36.97200712567239,37.053050703372875,37.14119026253094,37.223354258356274,37.30103658168208,37.388429195423605,37.46648499145767,37.553130659782575,37.63342729206642,37.71521781518345,37.80111653809177,37.87506413433458,37.95237298495204,38.034536980777354,38.11782139472754,38.20334664492753,38.28140244096159,38.371035890952896,38.444236541779084,38.51855761073015,38.601095079263715,38.68624685675538,38.766916961747526,38.849080957572866,38.935726625897715,39.01751714901477,39.09631989046546,39.1792308317074,39.26699691815714,39.35140175023225,39.43730047314051,39.51685016000776,39.59752026499987,39.68379246061642,39.766329929150025,39.84550614330891,39.92654972100936,40.00161773537704,40.08788993099367,40.1722947630687,40.25520570431063,40.343718736177,40.42289495033594,40.51215492761891,40.599921014068734,40.686193209685314,40.7646224784277,40.84305174717009,40.92820352466171,41.01148793861193,41.08506206214639,41.164611749013666,41.239306290673056,41.324831540873035,41.40811595482328,41.4914003687735,41.57281741918225,41.66058350563201,41.739012774374366,41.827899278949054,41.90483465685822,41.984757816433735,42.064307503301045,42.138628572252166,42.21182922307836,42.295860582445194,42.380265414520316,42.461682464929034,42.550568969503686,42.63497380157881,42.71153570677966,42.789964975522004,42.86727382613948
desnu_menor,54.71897523751467,55.30144488582235,55.884498756442625,56.46696840474845,57.049438053053464,57.631907701358145,58.214377349663145,58.79743122028413,59.38048509090436,59.96295473921238,60.54600860983239,61.128478258137385,61.71094790644309,62.294001777063315,62.875887203052805,63.45894107367296,64.04199494429386,64.62504881491405,65.2086869078529,65.79115655615786,66.37421042677776,66.95726429739872,67.53973394570347,68.1222035940084,68.70467324231369,69.28772711293412,69.8701967612395,70.45208218723188,71.0345518355373,71.61702148384225,72.20007535446305,72.78312922508232,73.36501465107251,73.94748429937823,74.53053816999818,75.11300781830398,75.69547746661088,76.27794711491677,76.86100098553644,77.44405485615766,78.02652450446355,78.60899415276711,79.19146380107324,79.77510189400795,80.35815576462942,80.94062541293572,81.523095061242,82.10556470954594,82.68803435785229,83.27167245078903,83.85414209909239,84.43602752508416,85.01791295107198,85.6009668216938,86.18343646999956,86.76532189599091,87.34720732197925,87.92967697028588,88.51214661859248,89.09403204458022,89.67591747057227,90.25897134119042,90.84144098949973,91.42332641548714,92.00521184147881,92.58709726746679,93.16956691577377,93.75203656408065,94.3356746570138,94.9175600830061,95.49944550899345,96.0819151573029,96.66496902792069,97.24802289854297,97.83107676916116,98.41296219515313,98.99543184346028,99.5784857140779,99.87437702089893,99.87496124321417
mort_desnu,70.1455643907701,70.81143589460875,71.47730739844634,72.14317890228061,72.80905040611826,73.47425403482472,74.13945766353295,74.80466129223869,75.47120067120517,76.13774005017052,76.80361155400793,77.46747943245438,78.13268306116228,78.79721881474326,79.46242244344813,80.12829394728517,80.79483332625128,81.4607048300883,82.12657633392232,82.79111208750146,83.45564784108008,84.12085146978767,84.78672297362182,85.45259447745856,86.11779810616667,86.78366961000337,87.44887323871083,88.11608049280683,88.78261987177282,89.44715562534833,90.1123592540556,90.77823075789408,91.44343438660138,92.10930589043541,92.77517739427178,93.44171677323912,94.10692040194628,94.77212403065339,95.43732765936248,96.10253128806968,96.7684027919035,97.4329385454813,98.0988100493204,98.76401367802738,99.42988518186118,99.89721109628204,99.90055047192816,99.9030220272392,99.90569352775609,99.90702927801453,99.90903290340222,99.9117044039191,99.91304015417757,99.91504377956522,99.91684745974705,99.91885108513473,99.92018683539318,99.921990515575,99.92265839070423,99.92399414096266,99.92532989122111,99.92599776635033,99.92599776635033,99.92666564147956,99.92666564147956,99.928001391738,99.92866926686722,99.9300050171257,99.9300050171257,99.93200864251335,99.93267651764258,99.93267651764258,99.9333443927718,99.93468014303026,99.93534801815946,99.93601589328868,99.93715169834128,99.93715169834128,99.93715169834128,99.93715169834128
mort_mater,64.09612314845583,64.91154431762185,65.72614679083824,66.5407492640522,67.35535173726507,68.16995421047805,68.98455668369148,69.79997785285778,70.61458032607462,71.43082019119304,72.24624136036024,73.06166252952552,73.87790239464503,74.69250486785891,75.50792603702477,76.32416590214764,77.13876837535956,77.95418954452724,78.76961071369199,79.58585057881199,80.40127174797999,81.21587422119161,82.0321140863147,82.84671655952619,83.6621377286942,84.47919628976446,85.29461745893202,86.11003862810021,86.92545979726441,87.74251835834069,88.55712083155177,89.37254200072007,90.18878186584095,91.00584042691085,91.82208029203228,92.63750146119618,93.45292263036661,94.26998119143632,95.087039752511,95.90246092167905,96.7187007867957,97.53494065191738,98.35199921298688,99.16823907811056,99.86480894228265,99.8664463341886,99.86808372609457,99.86972111800053,99.87299590181243,99.87627068562435,99.87708938157732,99.87872677348327,99.88118286134221,99.88363894920117,99.88527634110712,99.88691373301306,99.88855112491903,99.89182590873094,99.89346330063691,99.89591938849584,99.89755678040179,99.9008315642137,99.90246895611968,99.90410634802562,99.9049250439786,99.90644369080506,99.90726238675803,99.908081082711,99.90971847461695,99.91135586652291,99.9121745624759,99.9121745624759,99.91381195438184,99.91626804224079,99.91778668906723,99.9186053850202,99.92024277692616,99.92106147287915,99.92188016883213,99.92351756073806
parto_medi,75.26886310605285,76.03353972069701,76.79744935779271,77.56135899488856,78.32450165443781,79.08841129153363,79.85385488372708,80.61853149837019,81.38244113546634,82.14711775010966,82.91179436475585,83.67570400185201,84.44038061649437,85.20505723113784,85.96896686823685,86.73594441552227,87.4998540526177,88.26453066726118,89.02920728190752,89.79311691900398,90.55856051119363,91.32477108093197,92.08944769557579,92.85412431021795,93.61803394731453,94.3819435844136,95.14738717660485,95.9120637912466,96.67674040589057,97.44218399808426,98.20762759027564,98.97153722736996,99.73698081956074,99.92677697827031,99.92754395581758,99.92984488845946,99.93061186600674,99.93367977619589,99.93521373129046,99.93828164147959,99.94077042950225,99.94383833969141,99.94613927233327,99.94920718252241,99.95150811516427,99.95457602535339,99.95534300290069,99.95764393554255,99.95764393554255,99.96071184573168,99.96224580082627,99.96320063375434,99.96473458884893,99.9662685439435,99.96856947658536,99.96933645413264,99.97163738677449,99.9718252421553,99.97259221970259,99.97412617479716,99.97412617479716,99.97566012989172,99.97566012989172,99.97719408498631,99.97872804008087,99.97872804008087,99.97949501762815,99.97949501762815,99.98026199517544,99.98102897272274,99.98179595027001,99.98179595027001,99.9825629278173,99.98409688291189,99.98563083800644,99.98563083800644,99.98563083800644,99.98563083800644,99.98581869338724,99.98581869338724
contro_prena,44.960583602760174,45.54910356927686,46.13762353579399,46.72673497966597,47.31584642353456,47.90377491269872,48.493477833923784,49.08199780044132,49.669926289603225,50.25726330141539,50.845783267932774,51.43548618915551,52.02400615567319,52.61311759954414,53.20341199811982,53.79134048728421,54.37986045380199,54.96719746561133,55.55512595477557,56.14423739864767,56.73334884251576,57.32364324109339,57.9133461623186,58.50304908354301,59.09038609535118,59.679497539223306,60.268017505741,60.85653747225655,61.44446596142123,62.032394450585876,62.62150589445444,63.210617338325655,63.80091173690353,64.39061465812547,64.97913462464328,65.56765459116218,66.15794898973648,66.74706043360779,67.3367633548331,67.92587479870443,68.51439476521914,69.10350620909065,69.69261765296183,70.28172909683065,70.87143201805536,71.46054346192678,72.05083786050217,72.64172373643349,73.23083518030353,73.82053810152583,74.41142397745698,75.00171837603577,75.59319572931733,76.180532741129,76.77023566235233,77.35934710622382,77.94668411803248,78.53697851661131,79.12668143783598,79.71638435905861,80.30608728028088,80.89519872415241,81.48431016802164,82.07342161189322,82.66253305576483,83.25223597698756,83.8407559435058,84.42986738737494,85.02016178595035,85.60986470717525,86.19897615104745,86.78749611756581,87.37601608408151,87.96571900530348,88.55660488123483,89.14630780245778,89.73541924632947,90.3268965996143,90.91719099819049,91.50630244206222
