Abreviatura,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
pobr_extr,33.39265112244546,33.89342641689839,34.305751360538196,34.71475110301971,35.11976060411105,35.52809530636086,35.94574057185407,36.356735435030515,36.763075016585226,37.16010403489648,37.562453375061125,37.96945799684756,38.375797578402256,38.78812252204204,39.20177754614514,39.60678704723643,40.035072956436395,40.44008245752768,40.84442691838734,41.25209658040537,41.67572720798364,42.09337247347688,42.505032376885026,42.907381717049695,43.32436194231124,43.72804136293923,44.12307526055546,44.53806036512203,44.9404097052866,45.33211840174449,45.74244822468924,46.13681708207371,46.538501382006665,46.95548160726823,47.36381630951793,47.77747133362105,48.18846619679747,48.597465939278955,49.017106325467196,49.438741832350466,49.83710093112509,50.244105552911435,50.64179961145441,51.03683350907054,51.431202366455054,51.84485739055813,52.254522173271276,52.666182076679405,53.07318669846572,53.49748236627573,53.91446259153734,54.32811761564043,54.73977751904861,55.13414637643312,55.534500595902706,55.952145861395884,56.35383016132893,56.7681502256637,57.189785732547016,57.60610091757687,58.00512505658314,58.42011016114956,58.8311050243261,59.23544948518569,59.64976954952059,60.05344897014857,60.47042919541013,60.89339478275667,61.318355490798446,61.73600075629163,62.148325699931526,62.571956327509696,62.98095606999118,63.395276134325925,63.80095067564906,64.20995041813032,64.62693064339199,65.0439108686535,65.45158053067148,65.88585180195676,66.30083690652322,66.73444313757672,67.14942824214322,67.57505399041648
pobr_mone,20.262249499890466,20.61661233189046,20.948335316290386,21.262340159090257,21.572407637090155,21.881490773890338,22.188113057690185,22.508023947690027,22.82793483769014,23.139478827489928,23.447577623090034,23.76158246589001,24.0726342850898,24.387623469089892,24.703104823689856,25.021539201889755,25.333083191689802,25.64413501088969,25.95715551248955,26.267715161089576,26.566954885889515,26.882436240489398,27.1949645714894,27.508969414289314,27.822974257089207,28.12959654088927,28.444093554289132,28.756129714689017,29.065212851489093,29.375280329488923,29.681410442688993,29.99738396788895,30.31680268728881,30.617026753288858,30.933000278488823,31.250942486088693,31.566423840688707,31.895685972088636,32.205753450088494,32.52467999888854,32.83819267108847,33.15416619628835,33.466694527288375,33.78119154068828,34.1040554542881,34.419536808888175,34.73600250468814,35.05049951808796,35.367949555088046,35.686876103887975,36.00137311728794,36.31587013068791,36.62642977928782,36.93994245148783,37.24804124708777,37.5605695780877,37.86374666768768,38.17282980448761,38.487326817887514,38.80330034308743,39.11435216228746,39.42688049328738,39.736947971287236,40.04258591388722,40.35905160968714,40.66764257588713,40.984108271687134,41.296144432086976,41.611625786686915,41.9330131884869,42.25243190788696,42.57086628608674,42.88191810528672,43.20084465408677,43.507959108486546,43.81408922168653,44.11628197008656,44.42684161868637,44.73592475548639,45.047960915886435,45.366395294086175,45.674986260286154,45.98111637348617,46.29019951028608
pobr_multi,24.04739868170146,24.504729619002664,24.974420851907244,25.4206925773532,25.859157800313934,26.303477900138667,26.7510507093325,27.196021351031426,27.641642534603857,28.078156131942976,28.525078399263002,28.974602834078276,29.405912096426874,29.849581654377744,30.289347961086005,30.737571312153726,31.18124087010505,31.613200674327054,32.04906372979194,32.48232461776188,32.922741466343666,33.37096481741175,33.81008058224588,34.24984688895379,34.69546807252658,35.12612679300089,35.5489790109895,35.98158935708544,36.406393200695376,36.845508965529646,37.28982906535436,37.73805241642245,38.18107143249962,38.60132148299261,39.046292124691504,39.49646710138077,39.93167961497207,40.38120404978754,40.810561686514305,41.246424741979354,41.68423942306592,42.123355187900295,42.549460115258064,42.98272100322754,43.426390561178756,43.86030199102242,44.302019923351835,44.74503893942902,45.19976770923542,45.636281306574055,46.09231116012776,46.53337855058361,46.965988896679725,47.41030899650457,47.850075303212584,48.28593835867777,48.71529599540447,49.14009983901443,49.566855308246154,49.99230969372967,50.41451136984432,50.85883146966936,51.28883964827012,51.72600378748286,52.16446901044318,52.5990309821607,53.03814674699485,53.46945600934298,53.9092223160513,54.35679512524543,54.796561431953236,55.23047286179702,55.67154025225281,56.13082281517549,56.55172340754252,57.007753261096425,57.43515927220156,57.85736094831632,58.28476695942176,58.71282351240102,59.14218114912772,59.58259799770963,60.00414913195067,60.440012187415455
pobl_pensi,12.37502059247114,12.56407632971884,12.743404924813156,12.915251102865643,13.085600797510013,13.258444631168043,13.434032017741375,13.61460768234242,13.794185691337852,13.972766044727816,14.156584090046755,14.341649204872658,14.519980144361142,14.700306395060784,14.879385576253524,15.060958896460024,15.238292180343104,15.425352606379997,15.605678857079615,15.796231077735895,15.980298536956223,16.15862947644474,16.341948693960944,16.52651498098408,16.712328337514094,16.899638177452406,17.078717358645097,17.26428130127377,17.450593485606543,17.637653911643465,17.827457890595635,18.017012455646395,18.204072881683345,18.39387686063546,18.579440803264152,18.765503573695533,18.95530755264772,19.14610918720539,19.334915510551998,19.52571714510969,19.71402464065355,19.906073344718113,20.10011735999377,20.2934131335653,20.48546183762985,20.682498819722156,20.872302798674262,21.064351502738823,21.254654309493755,21.452190119388778,21.642991753946447,21.833793388504095,22.026590334272814,22.21764138273192,22.41168539800758,22.610218863508113,22.805759362192056,23.000801033073238,23.19609211785581,23.391632616539706,23.588420184730584,23.787951305836636,23.980748251605416,24.178034647599066,24.374073974085746,24.57535099250145,24.771639732889582,24.969175542784594,25.167210180482353,25.36300009306769,25.55953824735715,25.756575229449428,25.957104006161035,26.161373991393358,26.36140394030221,26.56018681970414,26.762461493725436,26.95750316460659,27.15803194131814,27.36329958215602,27.56008715034688,27.759867685354358,27.96114470377007,28.161673480481728
lacta_bebe,31.33333333333288,31.38263173082818,31.44761598207199,31.506251197274675,31.555176122061578,31.613064391847633,31.66833835267557,31.724732731628425,31.77664543808171,31.829678562659897,31.882711687238032,31.93798564806597,31.994380027018803,32.05376218763803,32.112023930132345,32.17103261804327,32.22593310616289,32.275604976366395,32.3346136642773,32.39474277031313,32.453751458224076,32.51089278259354,32.569154525087875,32.62965710383198,32.68493106465993,32.748047952362114,32.80593622214815,32.867185746308856,32.93030263401102,32.98595006754726,33.040477082958624,33.09276326212022,33.149904586489654,33.208539801692304,33.27165668939448,33.328798013763894,33.3911679560495,33.45129706208533,33.50918533187141,33.56483276540767,33.62272103519368,33.6791154141465,33.739991465598884,33.80049404434298,33.85539453246263,33.911788911415485,33.97117107203468,34.03316754161199,34.09516401118929,34.1541726991002,34.2131813870111,34.27443091117176,34.33717432616565,34.394315650535084,34.448095720529864,34.508598299273956,34.56910087801806,34.632217765720284,34.69234687175607,34.753596395916794,34.81970106528532,34.88580573465389,34.94294705902335,35.003823110475764,35.062084852970095,35.12258743171419,35.19130641004085,35.255543715867944,35.31791365815351,35.36982636460679,35.43294325230898,35.491951940219906,35.55021368271425,35.60922237062516,35.66636369499456,35.727239746446976,35.78998316144083,35.84787143122685,35.9057597010129,35.969623534131706,36.03871598516665,36.10444718182692,36.164949760571005,36.23068095723126
desnu_menor,18.39999999999993,18.861535629048703,19.309049922530807,19.753643104437124,20.192394063190502,20.638739912042507,21.080411982372524,21.52909472048518,21.96609301229313,22.401922859470663,22.845931819061672,23.28935655633711,23.73102862666704,24.18204825404124,24.60969898880491,25.048449947558602,25.48603246168152,25.925951865065652,26.368208157711155,26.806959116464743,27.24921540910969,27.676281921558243,28.11912243651905,28.555536506011727,28.99078213087365,29.42953308962703,29.870036715326336,30.304698117873667,30.742280631996763,31.169347144445137,31.62036677181895,32.04801750658329,32.492610688489414,32.933698536503876,33.36719149441999,33.80185289696684,34.230672076361614,34.662412367332244,35.091231546726405,35.52472450464262,35.96931768654913,36.39988953288918,36.83630360238191,37.27680722808117,37.70913174136684,38.15255647864288,38.58079143572189,39.01486861595331,39.44018246145608,39.860822528437225,40.299573487190706,40.72255044343283,41.15078540051187,41.58369413611335,42.02010820560584,42.45769071972886,42.89059945532979,43.32993463639854,43.773359373674424,44.19692055223131,44.64151373413787,45.07442246973896,45.51784720701488,45.96068772197512,46.39301223526083,46.824752526231215,47.259413928777946,47.69407533132499,48.13107362313269,48.561061247158186,48.984038203399955,49.41461004974028,49.84635034071082,50.280427520942276,50.71801003506514,51.159682105394914,51.593759285626625,52.02141002039032,52.455487200622564,52.8889801585389,53.325394228031676,53.75713451900221,54.19530125544046,54.63346799187858
mort_desnu,45.22857142857071,45.537129738272576,45.82698754435619,46.12819922763628,46.42941091091653,46.72461171803351,47.027827026701296,47.3223599586891,47.60687476373868,47.890053818529644,48.179243749483824,48.473776681471506,48.775656239880895,49.0741964226441,49.36739360437345,49.659255035844446,49.96113459425369,50.26501777805071,50.570904587235304,50.85942664306029,51.139266322205124,51.43647075471,51.7263285607931,52.023532993298005,52.320069550673544,52.62194910908283,52.915146290812245,53.20032897099097,53.49953702888331,53.785387584191184,54.07992051617913,54.39448970204364,54.69636926045301,54.97821256498561,55.28743874981635,55.587982557967266,55.881847614825865,56.185730798622856,56.48159948086906,56.78214328902006,57.08001559665396,57.380559404804934,57.68177108808488,57.98565427188204,58.284862329774334,58.58139888714996,58.87726756939616,59.15443574802425,59.46566555824267,59.76019849023049,60.04738479579691,60.32388509929561,60.61908590641274,60.90961158762523,61.21149114603459,61.49266657543784,61.780520756133505,62.07505368812122,62.37159024549685,62.65810867593401,62.96399548511858,63.25251754094343,63.54838622318977,63.85226940698688,64.14212721307001,64.43799589531635,64.71716769933214,65.01437213183685,65.32626981718445,65.6054416212002,65.8899564262497,66.18048210746215,66.47501503945013,66.76019771962879,67.04738402519514,67.33323458050306,67.61441000990649,67.91228231754043,68.21015462517433,68.5000124312576,68.79120598759933,69.07505291751964,69.34353871946772,69.61220589661748
mort_mater,28.745540185485872,29.235939061319915,29.68294705164652,30.133229825784795,30.570413464675262,31.02478971857828,31.471797708904703,31.908162651842254,32.36172020979233,32.780892537717584,33.231175311855864,33.653622423592736,34.09899302201327,34.52553361351507,34.982365955277174,35.41381872249691,35.854277145199475,36.29882904766683,36.74256225418124,37.19038894046063,37.634940842927975,38.05738795466501,38.50439594499131,38.94567306364691,39.39841192564404,39.86015644312393,40.3014335617794,40.73861720066999,41.18398779909047,41.630177093463914,42.054261597106844,42.52255568221053,42.95073366561825,43.39201078427377,43.8463870381769,44.27865850134975,44.705199092851714,45.16039404270782,45.60003376945734,46.06014089503127,46.49486844606286,46.9549755716369,47.40198356196327,47.839167200853886,48.312373461675584,48.74546362080127,49.18592204350374,49.62883655406513,50.069294976767765,50.505659919705344,50.95021182217274,51.394763724640164,51.82130431614203,52.278955353857036,52.717776384653504,53.14677306401441,53.58723148671689,54.03014599727841,54.464873548310095,54.8914141398119,55.32041081917282,55.76332532973415,56.197234184812906,56.64669826299821,57.09861842904243,57.55381337889853,57.97789788254141,58.40689456190221,58.86045211985227,59.29108619111915,59.722538958338966,60.16790955675931,60.61819233089749,61.064381625270826,61.505658743926375,61.931380639475364,62.38493819742557,62.80083574153875,63.2453876440061,63.70385737767411,64.14677188823549,64.57167508783138,65.0178643822048,65.46569106848412
parto_medi,38.18604912340798,38.68228359650166,39.13096546166361,39.563540798332944,39.99381520236015,40.403381212610924,40.83135468399627,41.27083281859112,41.69113651450361,42.11987696343649,42.54785043482187,42.980425771491134,43.40226342249804,43.83177084897818,44.2574433877216,44.68925174684358,45.11492428558712,45.5513345099928,45.98774473439824,46.41188331804747,46.83755585679095,47.244820934399804,47.66819254050149,48.09846694452864,48.52183855063052,48.939074336353876,49.36091198736117,49.78965243629371,50.22682963824672,50.65096822189555,51.061301209693674,51.48390583824806,51.91954908510647,52.35979419724838,52.78316580335023,53.21037229718824,53.634510880837325,54.05558155429713,54.48278804813543,54.90846058687898,55.33413312562268,55.75290286644057,56.20235170914984,56.62649029279906,57.062900517204575,57.49240794368467,57.92575025790102,58.363694437401236,58.78936697614476,59.23344697602333,59.65375067193589,60.076355300490484,60.51583343508503,60.94073899628139,61.36411060238315,61.80512269207245,62.24536780421443,62.67871011843092,63.098246836796164,63.533123106107304,63.95956262239811,64.38753609378372,64.82317934064194,65.26572538542568,65.69676676700038,66.14161374442598,66.57418908109523,67.01136628304806,67.45467930537926,67.88418673185927,68.33747046230523,68.76851184387979,69.20492206828533,69.61908994381963,70.04476248256326,70.47196897640136,70.88613685193577,71.3279159191722,71.745918682443,72.16929028854457,72.58959398445748,72.99151288643712,73.37016648946322,73.73518121045164
contro_prena,17.038363046457086,17.29151535366255,17.61919380738181,17.95160407992727,18.27159332805373,18.5986803044195,18.932273531671445,19.26586675892345,19.592953735289218,19.922406621068202,20.260731667146445,20.587818643512307,20.908990846345304,21.24140111889068,21.588006847914883,21.920417120460307,22.259925121245065,22.59410982585029,22.926520098395663,23.253015597408243,23.59370655289962,23.94090375927708,24.283369146828253,24.621694192906517,24.942866395739518,25.283557351230893,25.623656829368947,25.947194941615066,26.27783078210061,26.626802420537953,26.960987125143156,27.293988875041844,27.61575255522809,27.94757135042023,28.279390145612346,28.619489623750425,28.942436258643276,29.28016982736822,29.62322669227267,29.975155717476394,30.310523376788183,30.64352512668694,30.99013085571115,31.317809309430217,31.641938899029615,31.98262985452098,32.30794239882696,32.65395665049789,32.98281805892355,33.33888742560033,33.683127245211395,34.01849490452318,34.349130745008694,34.69337056461979,35.044708112470204,35.37002065677617,35.71662638580041,36.05376847717205,36.39091056854371,36.7339674334482,37.07879873041253,37.39878797853899,37.74302779815002,38.08135284422828,38.41672050354005,38.73375236490001,39.070894456271716,39.40626211558352,39.749910457841295,40.0941502774524,40.42774350470436,40.7631111640162,41.086649276262406,41.42793170910693,41.77098857401146,42.10044145979045,42.437583551162035,42.76821939164767,43.0976722774266,43.44605243851057,43.7855604392954,44.12270253066699,44.448606552326304,44.78870603046437
